text,date,likes
"RT @adrozd83: Скульптура ""Мир"" на станції метро ""Дніпро"" #Київ

Одним зі співавторів скульптури є Флоріан Коцюбинський – онук Михайла Коцюб…",2025-05-24 08:34:54+00:00,0
RT @SergSopot: Але приписали і сказали 1147 #Київ 450_е.  #історія_світу - #залеська_орда #московія,2025-05-24 08:28:52+00:00,0
"RT @hurnkua: #Київ 
Комбінований російський удар безпілотниками та балістикою 🤬
#Kyiv 
Combined russian strike with drones and ballistics 🤬…",2025-05-24 08:27:09+00:00,0
"RT @hurnkua: #Київ 
Комбінований російський удар безпілотниками та балістикою 🤬
#Kyiv 
Combined russian strike with drones and ballistics 🤬…",2025-05-24 08:25:31+00:00,0
#травень #Київ #Україна 🌿🌸🌥️ https://t.co/jfCwPFTnEX,2025-05-24 08:24:44+00:00,0
"RT @WendenGall: Ваші діти мають вмирати за наших дітей століттями! –– каже заступник голови Офіса президента #Україна.

Ми, ваші аристократ…",2025-05-24 08:23:32+00:00,0
"RT @adrozd83: Скульптура ""Мир"" на станції метро ""Дніпро"" #Київ

Одним зі співавторів скульптури є Флоріан Коцюбинський – онук Михайла Коцюб…",2025-05-24 08:20:46+00:00,0
ДІПФЕЙКИ рф у пропаганді #новини #новиниукраїни #україна https://t.co/rTtK2MD8c4 через @YouTube,2025-05-24 08:18:49+00:00,0
"ШІ ДІПФЕЙКИ: Зеленський, Залужний, путін  #новини #новиниукраїни #україна https://t.co/WGLouXXkqC через @YouTube",2025-05-24 08:16:14+00:00,0
"RT @zn_ua: У Києві значно зросла кількість постраждалих унаслідок масованої комбінованої атаки росіян.

https://t.co/DFdWaNYtFF

#новини #К…",2025-05-24 08:15:38+00:00,0
"RT @UaCoins: 🇷🇺Russian MLRS ""Grad"" is no longer able to continue special operation💥💀…",2025-05-24 08:15:31+00:00,0
"@ZelenskyyUa #опитування #оренда #нерухомість
#Київ 
https://t.co/hL3sWZHCKU?",2025-05-24 08:12:57+00:00,0
RT @adrozd83: #Київ / #Kyiv https://t.co/V5UYsHz3RZ,2025-05-24 08:12:46+00:00,0
RT @U_Tribune: Формально МП нібито не має жодних прав на перебування на території Лаври – але їхні представники там досі живуть і служать –…,2025-05-24 08:12:43+00:00,0
#Київ #Kyiv #Ukraine https://t.co/zLUMl1Ooq1,2025-05-24 08:11:30+00:00,0
"Перший крок адміністрації Трампа у знятті санкцій з Сирії
#США #Сирія #Трамп #альШараа #санкції #економіка #дипломатія #Рубіо

https://t.co/207gXdi1Ab",2025-05-24 08:11:04+00:00,0
"RT @WendenGall: Ваші діти мають вмирати за наших дітей століттями! –– каже заступник голови Офіса президента #Україна.

Ми, ваші аристократ…",2025-05-24 08:09:32+00:00,0
"RT @hurnkua: #Київ 
Комбінований російський удар безпілотниками та балістикою 🤬
#Kyiv 
Combined russian strike with drones and ballistics 🤬…",2025-05-24 08:08:57+00:00,0
"RT @NovaGorlivka: #Київ друзі нарахували через свій район 54+- мопеда, більшість збило ППО ( респект хлопцям), але де які влучили... https:…",2025-05-24 08:08:39+00:00,0
"RT @FCShakhtar: 🤩 89 років історії ⚒️ З днем народження, «Шахтар»! 🧡

#Shakhtar #Україна https://t.co/iMWmm7ZMJy",2025-05-24 08:06:00+00:00,0
"🇺🇦Президент @ZelenskyyUa відреагував на нічну атаку РФ на Україну: Москва навмисно затягує війну, потрібен сильніший тиск

#Україна #Ukraine #Київ #Kyiv #Зеленський #Zelensky #UkraineRussiaWar 

➡️https://t.co/iGEyGzBqaq https://t.co/3ivXbg6TSe",2025-05-24 08:04:26+00:00,0
"RT @hurnkua: #Київ
#Kyiv",2025-05-24 08:04:03+00:00,0
